_IDOBJ;NOM_COMPLET;THEME;LIBTHEME;CATEGORIE;LIBCATEGORIE;TYPE;LIBTYPE;STATUT;COMMUNE;ADRESSE;TELEPHONE;WEB;CODE_POSTAL;LONG_WGS84;LAT_WGS84
3763,000000000000000;Station Accueil Ecole d'Architecture;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;Quai François Mitterrand;;www.bicloo.nantesmetropole.fr;44200;-1,557551259669;47,207616902001
3761,000000000000000;Station Accueil Lamoricière;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;Rue Lamoricière;;www.bicloo.nantesmetropole.fr;44100;-1,571398998401;47,212365614395
3756,000000000000000;Station Abonnement Foch Cathédrale;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;Rue de l'Evêché;;www.bicloo.nantesmetropole.fr;44000;-1,550480136778;47,218694565936
3753,000000000000000;Station Accueil Place Waldeck Rousseau;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;Place Waldeck Rousseau;;www.bicloo.nantesmetropole.fr;44000;-1,552166139129;47,227786338160
3752,000000000000000;Station Accueil Chanzy;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;Avenue Chanzy;;www.bicloo.nantesmetropole.fr;44000;-1,548018021790;47,225441394771
3746,000000000000000;Station Accueil LU Lieu Unique;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;Quai de Malakoff;;www.bicloo.nantesmetropole.fr;44000;-1,545924211177;47,215602785014
3739,000000000000000;Station Abonnement Cité Internationale des Congrès;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;Rue de Jemmapes;;www.bicloo.nantesmetropole.fr;44000;-1,545027483831;47,213168554028
3737,000000000000000;station Accueil Baco;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;Allée Baco;;www.bicloo.nantesmetropole.fr;44000;-1,548768937518;47,214338842647
3734,000000000000000;Station Accueil Duchesse Anne;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;Rue Henri IV;;www.bicloo.nantesmetropole.fr;44000;-1,547077220790;47,216528748586
3730,000000000000000;Station Accueil Prairie au Duc;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;Boulevard de la Prairie au Duc;;www.bicloo.nantesmetropole.fr;44200;-1,558882840172;47,204784819206
3727,000000000000000;Station Abonnement Gare Maritime;10,000000000000000;DEPLACEMENT;1003,000000000000000;Station Bicloo;;;;NANTES;Quai Ernest Renaud;;www.bicloo.nantesmetropole.fr;44100;-1,572629532377;47,206609081175
